"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_001001024",0,0,0,0,0,0,0,0,0
"NM_001001025",0,0,0,0,0,0,0,0,0
"NM_001000143",0,0,0,0,0,0,0,0,0
"NM_001000744",0,0,0,0,0,0,0,0,0
"NM_001000144",0,0,0,0,0,0,0,0,0
"NM_001000145",0,0,0,0,0,0,0,0,0
"NM_001000146",0,0,0,0,0,0,0,0,0
"NM_001000147",0,0,0,0,0,0,0,0,0
"NM_001000148",0,0,0,0,0,0,0,0,0
"NM_001000149",0,0,0,0,0,0,0,0,0
"NM_001000952",0,0,0,0,0,0,0,0,0
"NM_001000743",0,0,0,0,0,0,0,0,0
"NM_001000742",0,0,0,0,0,0,0,0,0
"NM_001000150",0,0,0,0,0,0,0,0,0
"NM_001000151",0,0,0,0,0,0,0,0,0
"NM_001000951",0,0,0,0,0,0,0,0,0
"NM_001000152",0,0,0,0,0,0,0,0,0
"NM_001000153",0,0,0,0,0,0,0,0,0
"NM_001000154",0,0,0,0,0,0,0,0,0
"NM_001000155",0,0,0,0,0,0,0,0,0
"NM_001000156",0,0,0,0,0,0,0,0,0
"NM_001000157",0,0,0,0,0,0,0,0,0
"NM_001000740",0,0,0,0,0,0,0,0,0
"NM_001000158",0,0,0,0,0,0,0,0,0
"NM_001001026",0,0,0,0,0,0,0,0,0
"NM_001000159",0,0,0,0,0,0,0,0,0
"NM_198776",297,287,543,1545,2181,845,1746,262,233
"NM_001113223",53,13,25,68,114,48,86,21,13
"NM_001111269",50,49,174,491,908,334,666,33,64
"NM_001001027",0,0,0,0,0,0,0,0,0
"NM_001001272",0,0,0,0,0,0,0,0,0
"NM_001001285",0,0,0,0,0,0,0,0,0
"NM_001001273",0,0,0,0,0,0,0,0,0
"NM_172093",0,0,0,0,0,0,0,0,0
"NM_001024805",0,0,0,0,0,0,0,0,0
"NM_001008890",0,0,0,0,4,2,2,0,0
"NM_001001288",0,0,0,0,0,0,0,0,0
"NM_001000160",0,0,0,0,0,0,0,0,0
"NM_001047938",0,0,0,0,0,0,0,0,0
"NM_001001283",0,0,0,0,0,0,0,0,0
"NM_001000161",0,0,0,0,0,0,0,0,0
"NM_001000162",0,0,0,0,0,0,0,0,0
"NM_001001274",0,0,0,0,0,0,0,0,0
"NM_001000544",0,0,0,0,0,0,0,0,0
"NM_001000163",0,0,0,0,0,0,0,0,0
"NM_001000164",0,0,0,0,0,0,0,0,0
"NM_001000545",0,0,0,0,0,0,0,0,0
"NM_001000165",0,0,0,0,0,0,0,0,0
"NM_001106287",0,0,0,0,0,0,0,0,0
"NM_001077678",0,0,0,0,0,0,0,0,0
"NM_001107543",0,0,0,0,0,0,0,0,0
"NM_001013899",0,0,0,0,4,0,0,0,0
"NM_001000166",0,0,0,0,0,0,0,0,0
"NM_001000739",0,0,0,0,0,0,0,0,0
"NM_001170461",4,0,2,4,8,8,16,1,6
"NM_001276491",303,338,324,451,448,439,378,206,217
"NM_001014023",1040,704,643,1139,1517,1619,1395,941,826
"NM_001000546",0,0,0,0,0,0,0,0,0
"NM_001000167",0,0,0,0,0,0,0,0,0
"NM_001000547",0,0,0,0,0,0,0,0,0
"NM_001000168",0,0,0,0,1,0,0,0,0
"NM_001006595",0,0,0,0,0,0,0,0,0
"NM_001000169",0,0,0,0,0,0,0,0,0
"NM_001000950",0,0,0,0,0,0,0,0,0
"NM_001001000",0,0,0,0,0,0,0,0,0
"NM_001000738",0,0,0,0,0,0,0,0,0
"NM_001000737",0,0,0,0,0,0,0,0,0
"NM_001000548",0,0,0,0,0,0,0,0,0
"NM_001000171",0,0,0,0,0,0,0,0,0
"NM_001000170",0,0,0,0,0,0,0,0,0
"NM_001000174",0,0,0,0,0,0,0,0,0
"NM_001000175",0,0,0,0,0,0,0,0,0
"NM_001000173",0,0,0,0,0,0,0,0,0
"NM_001000172",0,0,0,0,0,0,0,0,0
"NM_001001029",0,0,0,0,0,0,0,0,0
"NM_001001028",0,0,0,0,0,0,0,0,0
"NM_001000178",0,0,0,0,0,0,0,0,0
"NM_001000177",0,0,0,0,0,0,0,0,0
"NM_001000176",0,0,0,0,0,0,0,0,0
"NM_001000949",0,0,0,0,0,0,0,0,0
"NM_001001030",0,0,0,0,0,0,0,0,0
"NM_001000181",0,0,0,0,0,0,0,0,0
"NM_001000180",0,0,0,0,0,0,0,0,0
"NM_001000179",0,0,0,0,0,0,0,0,0
"NM_001001032",0,0,0,0,0,0,0,0,0
"NM_001000549",0,0,0,0,0,0,0,0,0
"NM_001000186",0,0,0,0,0,0,0,0,0
"NM_001000185",0,0,0,0,0,0,0,0,0
"NM_001000184",0,0,0,0,0,0,0,0,0
"NM_001000183",0,0,0,0,0,0,0,0,0
"NM_001000182",0,0,0,0,0,0,0,0,0
"NM_001001031",0,0,0,0,0,0,0,0,0
"NM_001000948",0,0,0,0,0,0,0,0,0
"NM_001001034",0,0,0,0,0,0,0,0,0
"NM_001001033",0,0,0,0,0,0,0,0,0
"NM_001000189",0,0,0,0,0,0,0,0,0
"NM_001000188",0,0,0,0,0,0,0,0,0
"NM_001000187",0,0,0,0,0,0,0,0,0
"NM_001005538",413,468,436,396,469,364,409,399,496
"NM_053496",0,2,0,0,0,0,0,0,0
"NM_013165",0,0,0,0,1,0,0,0,0
"NM_001000550",0,0,0,0,0,0,0,0,0
"NM_001000190",0,0,0,0,0,0,0,0,0
"NM_134449",3524,1423,984,1770,1820,1898,1514,4762,3162
"NM_080478",83,30,44,56,66,48,52,75,50
"NM_001006997",3400,4974,4816,5250,3197,3650,3318,3091,3232
"NM_053371",376,722,979,508,200,188,177,359,376
"NM_053318",48467,130829,83543,130771,178816,205178,163280,44269,65324
"NM_031786",476,470,420,419,492,454,429,412,551
"NM_001004222",806,714,710,697,872,745,692,850,1128
"NM_133539",58,61,52,45,35,25,30,32,40
"NM_133409",2901,1726,1711,1840,2331,2081,2089,2579,2654
"NM_031357",3398,2163,2346,2665,3024,2748,3013,3076,3367
"NM_001313843",0,0,0,0,0,0,0,0,0
"NM_001313842",0,0,0,0,0,0,0,0,0
"NM_001134735",846,732,805,755,714,704,682,746,874
"NM_001107544",401,132,175,282,247,246,334,279,382
"NM_001008346",55,187,137,110,123,76,85,118,162
"NM_001000191",0,0,0,0,0,0,0,0,0
"NM_001000192",0,0,0,0,0,0,0,0,0
"NM_001001018",0,0,0,0,0,0,0,0,0
"NM_001000736",0,0,0,0,0,0,0,0,0
"NM_001000194",0,0,0,0,0,0,0,0,0
"NM_001000193",0,0,0,0,0,0,0,0,0
"NM_001000735",0,0,0,0,0,0,0,0,0
"NM_001000198",0,0,0,0,0,0,0,0,0
"NM_001000197",0,0,0,0,0,0,0,0,0
"NM_001000196",0,0,0,0,0,0,0,0,0
"NM_001000195",0,0,0,0,0,0,0,0,0
"NM_001001372",0,0,0,0,0,0,0,0,0
"NM_001000552",2,0,0,0,0,0,0,0,0
"NM_001000551",0,0,0,0,0,0,0,0,0
"NM_001000199",0,0,0,0,0,0,0,0,0
"NM_001000202",0,0,0,0,0,0,0,0,0
"NM_001000201",0,0,0,0,0,0,0,0,0
"NM_001000200",0,0,0,0,0,0,0,0,0
"NM_031710",0,0,0,0,0,0,0,0,0
"NM_001000553",0,0,0,0,0,0,0,0,0
"NM_001000204",0,0,0,0,0,0,0,0,0
"NM_001000203",0,0,0,0,0,0,0,0,0
"NM_001000208",0,0,0,0,0,0,0,0,0
"NM_001001035",0,0,0,0,0,0,0,0,0
"NM_001000207",0,0,0,0,0,0,0,0,0
"NM_001000205",0,0,0,0,0,0,0,0,0
"NM_001000206",0,0,0,0,0,0,0,0,0
"NM_001013192",121,76,80,100,184,123,150,97,88
"NM_001014244",7,6,8,13,12,1,0,10,14
"NM_001000209",0,0,0,0,0,0,0,0,0
"NM_001000210",0,0,0,0,0,0,0,0,0
"NM_001000211",0,0,0,0,0,0,0,0,0
"NM_001000734",0,0,0,0,0,0,0,0,0
"NM_001000213",0,0,0,0,0,0,0,0,0
"NM_001000214",0,0,0,0,0,0,0,0,0
"NM_001000215",0,0,0,0,0,0,0,0,0
"NM_001000216",0,0,0,0,0,0,0,0,0
"NM_001000217",0,0,0,0,0,0,0,0,0
"NM_001000218",0,0,0,0,0,0,0,0,0
"NM_001000219",0,0,0,0,0,0,0,0,0
"NM_001001038",0,0,0,0,0,0,0,0,0
"NM_001000222",0,0,0,0,0,0,0,0,0
"NM_001000946",0,0,0,0,0,0,0,0,0
"NM_001000999",0,0,0,0,0,0,0,0,0
"NM_001000221",0,0,0,0,0,0,0,0,0
"NM_001000220",0,0,0,0,0,0,0,0,0
"NM_001000228",0,0,0,0,0,0,0,0,0
"NM_001000733",0,0,0,0,0,0,0,0,0
"NM_001000229",0,0,0,0,0,0,0,0,0
"NM_001000732",0,0,0,0,0,0,0,0,0
"NM_001000230",0,0,0,0,0,0,0,0,0
"NM_001000227",0,0,0,0,0,0,0,0,0
"NM_001000730",0,0,0,0,0,0,0,0,0
"NM_001000226",0,0,0,0,0,0,0,0,0
"NM_001277302",2897,2733,2555,2353,2056,1955,1981,2761,2871
"NM_001106291",4,0,6,2,6,10,2,0,2
"NM_001000225",0,0,0,0,0,0,0,0,0
"NM_001000224",0,0,0,0,0,0,0,0,0
"NM_001001010",0,0,0,0,0,0,0,0,0
"NM_001000223",0,0,0,0,0,0,0,0,0
"NM_001277069",0,0,0,0,0,0,0,0,0
"NM_001115045",0,0,0,0,0,0,0,0,0
"NM_001191839",0,0,0,0,4,2,2,0,0
"NM_001271234",3,0,0,0,2,1,2,3,2
"NM_001108497",109,59,96,127,127,121,122,99,74
"NM_001024287",0,0,0,0,0,0,0,0,0
"NM_001106289",454,420,380,303,427,427,379,346,463
"NM_001108498",42,110,20,44,150,118,100,24,16
"NM_001012358",693,2837,1070,1801,1015,1105,972,694,993
"NM_001107546",2081,1726,1292,1661,2145,1859,2123,1904,2125
"NM_001107545",3556,5399,3803,2867,3077,3068,2639,3454,4365
"NM_001012169",157,156,135,172,167,148,171,149,165
"NM_012715",42,47,10,30,226,121,197,23,33
"NM_001106286",3971,2232,2156,2746,2394,2210,2343,2667,3895
"NM_001001800",848,452,506,897,420,445,483,610,723
"NM_001100661",23270,2662,1537,1911,2083,1852,2340,23605,24938
"NM_001017374",6044,14976,11448,10894,9204,8813,8932,8712,10797
"NM_138519",48,34,32,96,288,158,222,50,34
"NM_182669",38,14,5,22,34,28,30,17,24
"NM_024362",1061,1611,258,720,215,283,296,994,1756
"NM_017044",0,0,0,0,0,0,0,0,0
"NM_001011933",38,42,25,59,134,89,169,22,28
"NM_017278",2459,3186,3037,3011,1864,1877,1685,2302,2196
"NM_001108499",139,91,75,134,82,96,109,71,134
"NM_001033955",0,0,0,0,0,0,0,0,0
"NM_017338",0,0,0,0,0,0,0,0,0
"NM_001033956",0,0,0,0,0,0,0,0,0
"NM_138513",0,0,0,0,0,2,0,0,0
"NM_001013898",1207,1385,1219,1273,1201,1065,950,1124,1412
"NM_001144861",20,19,47,26,2,24,6,41,22
"NM_130432",34,68,36,43,35,50,39,62,68
"NM_021663",3910,2517,2026,2792,3248,2071,2741,3806,3759
"NM_031563",760,1812,1551,1541,1499,1366,1305,1054,1357
"NM_053982",403,858,830,639,726,697,627,788,961
"NM_198737",2312,1187,1853,2039,2564,2203,2240,2002,2237
"NM_138849",10,8,8,12,14,16,10,8,6
"NM_001127303",68,120,92,96,155,131,195,67,86
"NM_001191950",0,2,0,0,0,2,4,0,5
"NM_012785",185,282,334,325,129,159,119,128,166
"NM_001012216",2,0,2,0,6,2,2,0,0
"NM_001017463",1619,985,1008,1337,1024,963,981,1686,1468
"NM_001134611",98,147,146,78,78,49,88,125,123
"NM_001024241",0,0,0,0,0,0,0,0,0
"NM_134418",0,0,0,0,0,2,0,0,0
"NM_001013902",0,16,16,0,4,0,0,0,0
"NM_001014162",996,27285,71437,2967,1471,2392,2176,5091,1223
"NM_001109153",238,151,253,207,189,168,229,251,234
"NM_001108502",4408,4011,4956,6148,3051,3806,3325,4723,5317
"NM_033231",882,1445,2240,1912,483,398,635,484,1215
"NM_001009688",1512,1291,1491,1987,1160,934,1142,1604,1950
"NM_001191114",301,350,411,380,207,320,336,274,356
"NM_001276487",122,133,161,143,127,116,112,110,117
"NM_001024886",57,95,65,61,111,60,64,75,135
"NM_001024777",10,5,4,1,0,4,3,2,3
"NM_001006970",6923,6346,8459,8710,4886,5310,4551,5224,6086
"NM_001079885",0,0,0,0,0,0,0,0,0
"NM_001198653",4,0,0,0,15,8,1,6,6
"NM_012947",544,351,494,614,457,469,460,549,561
"NM_001025682",56,120,34,68,193,154,209,92,170
"NM_001108503",562,624,577,442,370,373,363,730,767
"NM_133542",114,189,78,193,524,391,519,69,135
"NM_001163164",1125,1018,1112,1413,1298,1368,1367,1419,962
"NM_017046",0,30,154,16,0,0,2,0,0
"NM_012648",1,135,355,45,4,0,0,3,4
"NM_001033889",485,382,536,459,409,414,386,485,517
"NM_001100519",1363,477,516,622,788,756,748,1172,1085
"NM_001034911",572,731,557,587,381,366,370,501,405
"NM_001037778",458,473,477,551,452,419,463,378,483
"NM_001191603",52,23,30,58,94,72,103,43,40
"NM_001106294",1470,2293,2858,2340,1242,1249,1225,1540,1727
"NM_182738",6,0,4,0,12,2,10,2,4
"NM_001108919",0,0,0,0,0,0,0,0,0
"NM_001107549",1582,1499,1173,1444,1334,1149,1439,1349,1763
"NM_001100482",0,0,0,0,0,0,0,0,0
"NM_199405",282,371,405,471,455,495,480,259,301
"NM_019158",6962,1495,708,2320,2402,3147,3085,6172,4313
"NM_001145762",0,0,0,0,2,0,0,0,0
"NM_001037196",298,418,297,429,241,272,209,408,518
"NM_133380",3016,4086,4437,4406,3091,2842,2699,2517,3240
"NM_133541",2425,1711,3119,2679,1305,1276,1470,1999,2626
"NM_147135",446,188,332,350,356,325,394,673,567
"NM_001039208",1011,1325,1241,1273,828,802,823,1196,925
"NM_030853",49,41,48,61,151,90,86,36,48
"NM_030585",320,321,407,400,274,278,275,256,234
"NM_001013237",26,9,12,27,18,12,9,28,36
"NM_001007692",50,80,63,86,80,60,75,62,62
"NM_001100662",5092,6849,5718,5582,4802,4761,4651,5500,5052
"NM_001130097",1960,2902,2566,3476,2603,2010,2425,1974,2419
"NM_001106295",2546,2698,3335,3600,2278,2562,2199,2050,2161
"NM_001006971",313,310,483,478,293,270,298,210,245
"NM_031834",4598,7091,8905,8892,5941,6714,6729,4527,7966
"NM_001114502",315,346,352,377,227,291,304,298,354
"NM_053611",1429,4060,3195,3374,1637,1631,1464,2333,1158
"NM_130411",186,545,142,351,1386,1138,1284,184,146
"NM_001009292",647,476,564,595,424,432,524,495,598
"NM_001135698",332,137,188,245,409,342,345,248,343
"NM_001271536",0,1,0,1,4,0,4,1,0
"NM_001108920",5,4,2,0,10,6,4,2,13
"NM_001177305",0,2,0,2,2,2,0,0,0
"NM_134359",723,707,680,764,911,888,821,744,820
"NM_017347",721,473,558,659,1019,919,920,592,666
"NM_012495",46,80,70,64,167,122,111,47,40
"NM_001305187",0,0,0,0,6,2,2,0,2
"NM_001013900",280,285,375,334,345,337,327,279,274
"NM_001106296",0,2,3,0,0,0,6,0,2
"NM_001025725",244,381,338,348,379,276,399,217,311
"NM_001109155",0,0,0,0,0,0,0,0,0
"NM_022937",0,4,2,0,52,51,28,0,9
"NM_022702",1688,1053,1073,1287,1519,1312,1484,1626,2081
"NM_022715",1424,1876,805,1344,3666,3211,3016,1158,1324
"NM_001110319",457,566,509,518,715,609,657,478,454
"NR_077057",0,0,0,0,0,1,0,0,0
"NM_001107550",0,0,0,0,2,2,4,2,0
"NM_001276470",1,4,0,0,0,0,0,2,0
"NM_001013901",82,180,112,112,171,110,138,64,80
"NM_138899",1236,744,726,817,778,809,879,1192,1180
"NM_134409",0,0,0,2,0,0,0,0,0
"NM_001009646",3549,2786,3890,3676,1655,1962,1887,3928,3343
"NM_001025001",16,86,18,48,111,52,92,8,14
"NM_001271086",74,270,82,210,319,182,318,123,58
"NM_001106297",1286,1168,1198,1234,1327,1171,1335,1399,1529
"NM_012605",11,1,11,22,25,17,17,13,4
"NM_001108921",730,532,541,674,795,670,615,727,918
"NM_001012460",51,32,32,34,159,85,86,19,28
"NM_001033998",503,585,310,742,3302,2832,2852,397,466
"NM_001079889",4112,1336,3252,3220,4312,2924,2440,1758,5954
"NM_138892",89,60,76,83,112,148,167,86,96
"NM_173330",53,109,104,113,80,72,87,82,90
"NM_001304268",131,118,142,138,129,94,123,139,114
"NM_153471",1111,966,917,1137,837,743,907,1129,1311
"NM_001134694",14,30,25,21,14,24,16,12,10
"NM_001107551",419,413,450,444,448,300,322,405,565
"NM_080584",645,594,613,564,643,613,566,622,651
"NR_128681",0,0,0,0,0,0,0,0,0
"NM_001106298",341,217,213,230,243,139,188,265,253
"NM_001135800",0,0,1,1,0,0,0,0,0
"NM_017129",184,158,219,205,133,108,110,176,191
"NM_012700",6,18,38,33,15,15,25,6,4
"NM_031125",551,1028,1028,1061,814,684,654,580,583
"NM_139329",2805,2282,4052,3253,1802,1251,1171,1994,2120
"NM_001107553",46,90,57,81,72,96,62,80,105
"NM_001014024",536,410,468,492,338,238,373,478,516
"NM_172322",67,48,40,63,300,270,229,24,54
"NM_138836",25,6,18,33,33,23,23,12,21
"NM_001012137",1141,1324,1504,1786,1677,1491,1814,1187,1403
"NM_203335",2209,1315,1202,2077,1285,1632,1427,2321,2052
"NM_019244",1168,1149,905,1142,789,836,741,1302,877
"NM_001077675",2,6,2,3,8,12,16,0,5
"NM_001017378",295,401,476,465,265,357,319,314,350
"NM_001011560",98,178,261,198,92,125,115,132,81
"NM_012711",32,314,23,115,1309,1047,957,41,23
"NM_001035517",773,493,703,875,671,703,690,662,470
"NM_012812",0,0,0,0,0,0,0,0,0
"NM_022590",2,7,1,6,3,4,1,4,11
"NM_001106299",8,4,2,18,86,34,194,2,2
"NM_031691",20,10,16,26,25,28,44,18,12
"NR_037674",0,0,0,0,0,0,0,0,0
"NM_001191840",80,45,70,101,270,135,227,54,56
"NM_001009455",614,613,501,742,745,624,708,501,543
"NM_019337",44,36,18,48,274,215,246,26,46
"NM_001011936",757,2416,444,755,720,667,639,910,1497
"NM_001107554",929,579,923,1005,791,774,580,589,719
"NM_001134859",1308,880,976,976,1074,1079,1038,1169,1359
"NM_001106301",173,204,206,267,296,197,221,163,239
"NM_001017464",2,0,0,0,0,0,0,0,0
"NM_001079894",667,952,600,722,783,683,768,1121,689
"NM_031721",2190,1066,728,1393,2452,1981,1887,2081,1878
"NM_001271229",56,32,64,93,128,108,120,55,85
"NM_001109158",0,5,1,0,0,0,0,0,3
"NM_054005",0,0,0,0,2,0,0,0,0
"NM_001014025",37,82,53,41,44,34,50,52,59
"NM_001109157",3,5,5,0,2,0,5,2,0
"NM_013084",3212,658,892,1315,1130,1031,1254,2442,3201
"NM_001047906",598,647,734,727,728,659,715,707,752
"NM_001106303",0,2,0,0,0,0,2,0,0
"NM_001106302",0,0,0,0,0,0,0,0,0
"NM_001106306",6,8,10,14,99,18,42,10,4
"NM_173310",117,90,93,68,115,96,107,63,90
"NM_001170476",3,23,29,82,2,2,0,6,6
"NM_022521",2905,4272,3303,9543,758,856,968,1214,4075
"NM_001107556",329,138,116,239,453,250,367,322,343
"NM_001106307",1072,1023,1252,1204,917,875,932,1014,1057
"NM_001108504",63,104,88,106,91,96,52,91,76
"NM_053335",112,85,77,110,252,183,272,88,112
"NM_001106308",0,2,0,2,0,2,1,0,2
"NM_001024288",129,478,831,322,16,22,32,132,83
"NM_001107557",653,703,595,753,505,476,523,762,1203
"NM_001130039",560,340,449,503,433,541,442,463,467
"NM_001108505",389,644,384,559,409,346,404,379,522
"NM_001163214",2,0,0,0,4,2,0,0,0
"NM_001271113",0,0,0,0,0,0,0,0,0
"NM_001014026",0,0,0,0,0,0,0,0,0
"NM_001271366",171,86,66,241,1491,1203,1943,139,160
"NM_032614",1446,2236,2327,1662,1581,1586,1645,1465,1608
"NM_001122782",305,176,311,180,177,157,189,288,321
"NM_144746",391,981,1084,414,521,466,486,470,733
"NM_053420",1478,1788,1869,799,1182,1293,1227,1708,2283
"NM_001108922",0,0,0,6,4,10,2,2,2
"NM_012933",0,0,2,2,4,2,0,0,0
"NM_001113789",0,0,2,0,0,0,0,0,0
"NM_001108507",39,32,18,33,83,48,56,13,29
"NM_001143756",0,0,0,0,0,0,0,0,0
"NM_001107558",4,0,4,0,0,0,0,2,6
"NM_001107560",402,442,429,490,612,500,630,352,352
"NR_032736",0,0,0,0,0,0,0,0,0
"NM_138915",0,0,0,0,0,0,0,0,0
"NM_001106309",117,189,176,148,144,142,117,113,97
"NM_053712",0,0,0,0,0,0,0,0,0
"NM_001190399",0,0,0,0,0,0,0,0,0
"NM_001000554",0,0,0,0,0,0,0,0,0
"NM_001031845",0,0,0,2,3,0,0,0,0
"NM_031669",2,0,0,0,0,0,0,0,4
"NM_001106311",546,488,548,651,1044,940,805,493,457
"NM_001106310",78,71,65,76,95,64,52,61,86
"NM_173334",0,0,0,0,0,0,0,0,0
"NM_078623",9551,6385,7103,9455,5215,6353,5290,7297,8444
"NM_001000231",0,0,0,0,0,0,0,0,0
"NM_001106312",2,0,0,2,1,4,6,4,0
"NM_001000767",0,0,0,0,0,0,0,0,0
"NM_001000232",0,0,0,0,0,0,0,0,0
"NM_001000233",0,0,0,0,0,0,0,0,0
"NM_001000234",0,0,0,0,0,0,0,0,0
"NM_001000236",0,0,0,0,0,0,0,0,0
"NM_001000235",0,0,0,0,0,0,2,0,0
"NM_001000237",0,0,0,0,0,0,0,0,0
"NM_001000238",0,0,0,0,0,0,0,0,0
"NM_001000239",0,0,0,0,0,0,0,1,0
"NM_001001039",0,0,0,0,0,0,0,0,0
"NM_001000240",0,0,0,0,0,0,0,0,0
"NM_001000766",0,0,0,0,0,0,0,0,0
"NM_001000241",0,0,0,0,0,0,0,0,0
"NM_001000955",0,0,0,0,0,2,0,0,0
"NM_001000242",0,0,0,0,0,2,1,0,0
"NM_001000765",0,0,0,0,0,0,0,0,0
"NM_001000555",0,0,0,0,0,0,0,0,0
"NM_001000764",0,0,0,0,0,0,0,0,0
"NM_001001040",0,0,0,0,0,0,0,0,0
"NM_001000243",0,0,0,0,0,0,0,0,0
"NM_031543",21308,67211,59642,50640,11404,12046,17030,22226,48153
"NM_001106313",785,654,1324,1236,581,758,543,813,702
"NM_019368",401,558,499,505,478,407,502,445,610
"NM_001107561",1,5,5,8,2,6,8,6,22
"NM_001134507",1860,2607,2938,2438,1812,1935,2243,1514,1877
"NM_001100520",1251,1551,1347,1342,1008,1026,1118,1101,1345
"NM_001108925",1590,2597,2296,2097,1527,1421,1472,1591,1607
"NM_012786",0,0,2,0,0,0,0,0,0
"NM_001108924",5,1,1,0,2,0,1,0,1
"NM_001106314",503,396,328,476,1694,1533,1190,436,484
"NM_134375",0,0,0,4,0,0,0,0,2
"NM_030833",160,161,108,198,674,500,492,131,187
"NM_001136124",1129,1567,594,897,2572,1943,2148,520,1419
"NM_001106315",220,159,151,286,205,218,165,174,134
"NM_001107562",4,8,2,7,20,10,11,3,0
"NM_001024887",453,829,954,975,543,688,669,525,467
"NM_139093",861,936,827,864,939,816,971,973,1097
"NM_001130441",0,0,0,0,0,0,0,0,0
"NM_001098241",54,21,17,16,16,10,17,14,27
"NM_139105",18,5,5,5,4,0,4,7,0
"NM_001270763",2,0,5,5,3,3,2,1,2
"NM_001270762",4,1,1,3,2,3,1,1,0
"NM_001106316",749,749,1054,803,670,581,642,669,997
"NM_001106317",182,202,246,256,198,216,244,178,224
"NM_001127540",6,4,9,11,8,7,13,8,3
"NR_031923",0,0,0,0,0,0,0,0,0
"NR_037366",0,0,0,0,0,0,0,0,0
"NM_001024902",23,26,30,65,20,12,23,31,20
"NM_012944",0,0,0,0,0,0,0,0,0
"NM_022670",0,0,0,2,0,2,2,0,0
"NR_045203",0,0,0,0,0,0,0,0,0
"NR_045202",4,6,5,6,9,2,4,7,3
"NM_031801",390,301,348,356,235,214,221,348,319
"NM_001108508",1786,1641,1827,1843,1763,1534,1865,1391,1399
"NM_138525",6,13,11,14,25,19,17,22,8
"NM_001106318",137,221,200,173,270,249,320,145,130
"NM_001014027",2078,4938,6143,3477,7670,7631,6839,2429,3258
"NM_022523",1797,1756,1381,1799,2726,2670,2761,1359,1255
"NM_001047854",1001,1013,1255,1267,955,1001,1050,810,841
"NM_001030021",487,390,373,280,225,212,215,307,451
"NM_001107563",245,257,328,339,381,405,439,194,219
"NM_001108509",3854,8565,13364,3753,2106,1894,2008,3839,4807
"NM_001127541",178,221,728,240,158,176,146,139,205
"NM_001013070",2069,891,1188,1025,1744,1710,1570,1592,1583
"NM_001143911",1660,962,1236,1180,979,1000,925,1214,1486
"NM_001014163",2,0,4,5,48,57,25,2,2
"NM_031008",2775,2371,3010,2732,2719,2484,2556,2526,2782
"NM_001109668",2109,1848,1828,2008,2213,2455,2146,1852,2410
"NM_001108510",161,592,48,63,188,245,190,189,528
"NM_001109159",446,560,564,569,374,243,345,363,502
"NM_001109474",0,0,0,0,0,0,0,0,0
"NM_134334",7888,11947,10597,12127,11292,9423,10339,7378,8201
"NM_001270668",0,0,0,0,0,0,0,0,0
"NM_001270672",0,0,0,0,0,0,0,0,0
"NM_053325",0,0,14,2,2,0,0,0,0
"NM_017185",0,2,0,0,2,6,0,0,0
"NM_001270671",0,0,0,0,0,0,0,0,0
"NM_001270670",0,0,0,0,0,0,0,0,0
"NM_001025420",119,302,62,212,503,314,418,90,113
"NM_031532",0,0,0,0,0,0,0,0,0
"NM_001270678",0,0,0,0,0,0,0,0,0
"NM_001270675",0,0,0,0,0,0,0,0,0
"NM_001270673",0,0,0,0,0,0,0,0,0
"NM_001270677",0,0,0,0,0,0,0,0,0
"NM_001270676",0,0,0,0,0,0,0,0,0
"NM_001270666",0,0,0,0,0,0,0,0,0
"NM_001270664",0,0,0,0,0,0,0,0,0
"NM_001270665",0,0,0,0,0,0,0,0,0
"NR_027324",6,5,4,18,756,353,2316,2,16
"NR_032754",0,0,0,0,0,0,0,0,0
"NM_022529",434,477,511,477,357,309,301,460,494
"NR_032112",0,0,0,0,0,0,0,0,0
"NM_001190163",0,0,0,0,0,0,0,0,0
"NM_001190162",1,0,0,0,0,0,0,0,0
"NM_031511",0,2,2,2,0,2,2,2,0
"NM_019130",0,0,0,0,0,0,0,0,0
"NM_031503",1,8,0,12,10,4,4,0,8
"NM_012740",0,0,0,0,0,0,0,0,0
"NM_001191896",12,0,0,2,6,4,6,4,2
"NM_001310047",0,0,0,0,0,0,0,0,0
"NM_001310046",0,0,0,0,0,0,0,0,0
"NM_013087",9904,8502,8006,12876,11254,13468,11076,7999,8265
"NM_001013194",4,0,0,0,0,0,0,0,0
"NM_001033758",0,0,0,0,0,0,0,0,0
"NM_001100521",0,1,0,0,0,0,0,0,0
"NM_001033757",0,0,0,0,0,0,0,0,0
"NM_182735",0,0,0,0,0,0,0,0,0
"NM_001170480",0,0,0,0,0,0,0,0,0
"NM_001012170",1025,966,962,873,988,919,890,1064,1217
"NM_001004260",5181,3846,4758,5516,3812,4891,4085,4328,3837
"NM_001108511",60,67,29,70,117,99,101,38,28
"NM_203470",0,0,0,0,0,0,0,0,0
"NM_001002288",0,0,0,0,0,0,0,0,0
"NM_022389",2671,5725,1399,3287,1091,1698,2544,2364,1538
"NM_001106320",898,969,1080,1042,896,747,851,1010,1155
"NM_021868",1899,1859,1860,1371,2030,1630,1920,1822,1839
"NM_152937",85,40,67,88,55,55,78,68,56
"NM_001107565",276,798,641,291,398,254,449,311,355
"NM_053809",0,0,0,0,0,0,0,0,0
