"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_130428",6428,5397,5989,8362,5550,5753,5356,5002,5778
"NM_001107454",94,36,72,44,76,62,69,76,112
"NM_001107453",508,378,362,454,465,427,490,401,543
"NM_012694",11,1,7,0,3,2,0,8,6
"NM_133425",0,17,16,8,8,4,2,0,0
"NM_057103",0,3,0,0,2,1,2,2,2
"NM_001040128",944,1188,1327,1404,675,923,718,878,930
"NM_001108462",119,100,144,25,202,100,172,180,74
"NM_001107459",1,0,0,0,0,0,0,0,0
"NM_139094",1119,1340,1234,1332,888,870,925,1075,1302
"NM_001012061",292,411,466,402,450,456,462,303,652
"NM_181474",293,303,288,296,192,243,218,274,369
"NM_001004216",0,0,0,0,0,0,0,0,0
"NM_001039343",34,15,40,48,60,42,46,14,34
"NM_001127560",5,2,0,0,32,7,14,2,4
"NM_001038615",20,23,28,114,474,82,426,20,16
"NM_019230",2,12,22,12,6,6,0,4,0
"NM_012756",3188,2175,2160,2304,2982,2685,2897,3268,3322
"NM_001115021",558,565,449,579,499,477,532,468,511
"NM_001077677",0,2,0,0,8,2,2,4,4
"NM_022236",0,12,2,14,36,11,37,4,4
"NM_001008302",572,443,410,481,457,495,449,526,588
"NM_057128",107,46,34,22,154,145,173,53,68
"NM_013217",1617,1963,1819,1973,1761,1801,1761,1782,1836
"NM_001107464",107,506,794,520,70,56,60,170,224
"NM_001106215",66,70,36,142,272,130,261,56,44
"NM_001169138",148,112,90,183,885,406,380,119,94
"NM_001004198",196,233,167,190,187,147,138,169,305
"NM_133574",0,0,0,0,0,0,0,0,0
"NM_001106214",0,0,4,0,0,0,0,0,0
"NM_001113403",361,299,252,352,808,746,779,258,377
"NM_001135720",6,17,17,34,49,17,24,9,24
"NM_001169140",0,0,0,0,0,0,0,0,0
"NM_001099469",0,0,0,0,0,0,0,0,0
"NM_057140",3582,3048,2791,3301,2592,2832,2681,3565,3372
"NM_001107467",78,88,132,143,56,48,74,89,100
"NM_001099488",0,0,0,0,0,0,0,0,0
"NM_001099489",0,0,0,0,0,0,0,0,0
"NM_173318",0,0,0,0,0,0,0,0,0
"NM_001099656",0,0,0,0,0,0,0,0,0
"NM_001313942",2,7,13,10,17,12,14,2,3
"NM_001006968",8,11,13,7,3,4,4,5,6
"NM_001106220",0,0,0,0,0,0,0,0,0
"NM_001107473",0,0,0,0,2,0,4,0,0
"NM_001108465",79,55,102,107,80,57,93,46,66
"NM_001134545",12,10,12,26,103,32,34,14,14
"NM_001271115",3,1,3,0,12,4,4,0,0
"NM_139261",523,608,495,419,509,499,478,641,577
"NM_181479",0,0,0,0,0,0,0,0,0
"NM_001099496",0,0,0,0,0,0,0,0,0
"NM_001106225",10,4,8,0,6,6,2,8,4
"NM_001029928",0,1,2,1,14,4,12,2,0
"NM_173315",0,0,0,0,0,0,0,0,0
"NM_001025002",52,79,112,78,44,57,51,79,21
"NM_001108470",34,22,13,34,36,12,33,28,32
"NM_001024775",986,1308,1466,1865,996,872,1005,843,1143
"NM_001025131",684,23,57,11,2,2,14,315,104
"NM_012695",11498,5110,1845,2078,1070,650,2315,7768,14716
"NM_207591",1866,1689,1630,1334,1556,1432,1367,2057,2782
"NM_001271132",2866,2457,2147,2919,1952,1977,2136,2926,3002
