"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001000081",14.0566137431344,0.861586193723885,0.60618272224188,0.039313169663832,0.0882421170924215
"NM_001000121",59.3747202971221,-2.19124531800265,0.476249846056376,3.56613684179024e-07,3.04049880069652e-06
"NM_001000913",19.5664907910503,0.954702307773505,0.645247413335972,0.0277546010870623,0.0662788330203122
"NM_001001109",17.7089772905097,0.443574282321218,0.433921625200232,0.185244052838822,0.300514930780662
"NM_001001504",615.238635636007,0.66535118895621,0.194124939929975,0.000318675827664707,0.0014134316317562
"NM_001001505",3693.10096736324,-1.08885870283959,0.218903678523776,1.57406503763626e-07,1.436956377536e-06
"NM_001001507",741.81396948805,0.793615774059193,0.289419332135714,0.00239757745631535,0.0082966311662404
"NM_001001509",8392.91841157286,0.413797327683128,0.152179642046657,0.00506684312604186,0.0156659536833072
"NM_001001511",184.496131424957,-0.011306439966493,0.38685928689308,0.967683851853308,0.979285705652158
"NM_001001512",2587.28793508085,-0.599029049659328,0.18036278554411,0.000517944718074004,0.00217089663538046
"NM_001001513",211.743356226119,0.711052974012009,0.2303741815663,0.000962494934484484,0.00374757157645719
"NM_001001515",372.354116696714,-0.0804026017892813,0.308100123166653,0.763639222219927,0.842490768692868
"NM_001001517",1213.21520765537,0.408035083684791,0.182816356894126,0.0196205392307337,0.0493798571052388
"NM_001001718",376.919276442956,-0.00785239069549512,0.21247849489259,0.967118153496017,0.979164744262023
"NM_001001719",128.13199519192,2.20055155302373,0.306976152948948,7.56890984708037e-14,2.02077001829715e-12
"NM_001001720",67.8956939297707,-0.634476173419645,0.35665894500592,0.0358908824274572,0.0820849076491388
"NM_001001800",501.113838534765,-0.380376610827044,0.293234764987079,0.143561778472352,0.246796709255384
"NM_001001801",67.3710005254519,0.65171097830719,0.298316825618555,0.0142337004103222,0.03758998666726
"NM_001002016",1614.4670890715,0.282267239701981,0.155820893298333,0.0616767003269402,0.127285768795846
"NM_001002022",941.000848322949,0.0334194021165503,0.262483057616608,0.889673488537383,0.927807183968894
"NM_001002253",394.285039990731,-0.0607713924646626,0.189889264511592,0.736360048421766,0.822122522539005
"NM_001002277",116.742371065045,0.495958975082131,0.23402937612384,0.0226766602719854,0.0559170771156171
"NM_001002278",255.768607399261,0.0256946480465406,0.32889355630574,0.930616588104649,0.956115240670569
"NM_001002279",222.663093197218,0.234422085145219,0.22725393713089,0.270220761386777,0.403529180007772
"NM_001002289",208.270615392922,-0.182733832860262,0.229984559649054,0.392884822319521,0.531188412433723
"NM_001002798",378.350144678956,-0.332362181420379,0.200134251320057,0.0794055472571825,0.155569916567562
"NM_001002802",95.9175885326164,-0.0900349658580648,0.33359316925713,0.750465613215159,0.832432702491682
"NM_001002804",1678.60630722463,-0.29500063683935,0.161926021796777,0.0595483417230641,0.123614066161026
"NM_001002805",1327.29498349458,0.769743271211404,0.279575782766314,0.00242970201720741,0.00838663738119438
"NM_001002807",702.67985792074,2.10257395586404,0.211445853802599,2.9305107245614e-24,3.281274916389e-22
"NM_001002809",1170.67323144796,-0.113904552309227,0.135457907145235,0.388349419686298,0.526678801411166
"NM_001002818",149.757925782064,-0.847280260221796,0.223434499656295,5.55975355991593e-05,0.000294720656101244
"NM_001002819",70.2203620742413,1.01050418707797,0.569721723096806,0.0154035998003251,0.0402150132307796
"NM_001002823",22.7839336490088,-0.15622729831868,0.460329572247021,0.630288355333133,0.741201813639531
"NM_001002826",9327.12646338857,-0.744157636419779,0.231944747792833,0.000595105858640472,0.00244756243885379
"NM_001002827",195.913901433495,0.950301882925946,0.266930455947456,0.000114696695617492,0.000563874032710906
"NM_001002828",601.361321624826,0.197396025424457,0.156667459774348,0.193977592679129,0.311550954986546
"NM_001002829",21.5552273260252,-0.492914060679136,0.530081822691804,0.170650790048077,0.282138182793062
"NM_001002830",35.8560573309774,3.62271261758329,0.708457188257116,2.97861184438187e-08,3.10982947368242e-07
"NM_001002831",1443.41875627207,-0.959627305576751,0.291686715673133,0.00029155717789491,0.00130540882817188
"NM_001002835",855.659364259343,-0.948768544569797,0.214909273342538,3.20109041063282e-06,2.2444450527715e-05
"NM_001002851",157.969501754518,0.218747488040754,0.257288148922165,0.353590432158714,0.491568201200756
"NM_001002853",126.994142764671,2.05684512270946,0.367167106587731,2.31944091313869e-09,2.91203948968774e-08
"NM_001002854",558.592237307466,0.250007654084187,0.325300731989732,0.374583637159448,0.513467364216193
"NM_001003401",1748.07055750243,2.76028251628158,0.384037634348461,5.34039173802373e-14,1.45409723427629e-12
"NM_001003402",387.69110034971,-1.73747232822142,0.432231551674297,6.22601303322091e-06,4.13797946780939e-05
"NM_001003403",213.918218507202,0.843503851783586,0.48844643026127,0.024365153984263,0.0593831871701254
"NM_001003673",1541.9041315374,-0.300536099700446,0.132302162247282,0.0195718354591728,0.0492911981853346
"NM_001003705",298.080422119087,0.455333363605334,0.255399676754813,0.0517443904884911,0.110508212695643
"NM_001003706",1356.60289916398,1.48508595079027,0.301120464325552,1.21473694351909e-07,1.13359147001209e-06
"NM_001003708",178.904314901788,-0.0542185235741936,0.283204547507825,0.829049882078252,0.88797366915758
"NM_001003709",1520.91941189521,-0.420685315355457,0.216171281776421,0.0379512978645167,0.0856413129773366
"NM_001003958",54.3956529786876,0.549531770086821,0.348784892220057,0.0642741861660145,0.131754277003489
"NM_001003959",155.715352024366,-1.2725699211766,0.225171902590287,3.13442198943285e-09,3.83006820601856e-08
"NM_001003974",117.08012480198,1.35171267567722,0.395165246608973,0.000104192357223907,0.00051686380461932
"NM_001003975",244.358079042339,-0.112735967168605,0.1931831898513,0.53888184504684,0.666652401424887
"NM_001003978",2542.49866892756,0.111972915790161,0.163539616837098,0.480151098737602,0.614138944684428
"NM_001004068",324.512749723525,0.0598556740468816,0.211843976679466,0.7678478674557,0.845404989465078
"NM_001004072",1645.74433858771,-0.0467188420424322,0.175403010056975,0.780315022545259,0.852998280771979
"NM_001004075",127.972253074987,-0.310357376569722,0.269594141567345,0.20327879156503,0.323365929232107
"NM_001004076",91.0199424048589,0.50710506934236,0.303540202396309,0.0591216429995482,0.123007544299212
"NM_001004078",3157.28517697984,0.353213377343118,0.148688450616611,0.0146483911321024,0.0384998313515114
"NM_001004080",290.6623544466,1.14317022048562,0.335852419966042,0.000146015458592322,0.000703039766184092
"NM_001004081",85.4100567846867,-0.143425933312604,0.325974608293754,0.604051197016184,0.718982799575604
"NM_001004082",16306.0458455751,0.0451177408455935,0.19706458385527,0.812253279577048,0.875830754314279
"NM_001004083",1662.53866951284,-0.745735479123166,0.147328016402225,1.91024866680457e-07,1.71812775580709e-06
"NM_001004085",671.981353348564,0.29233584011969,0.263968972515214,0.224608591231383,0.349592917954888
"NM_001004086",5466.52323922931,-1.14625334502789,0.230208244953586,1.43939151819575e-07,1.32392649867242e-06
"NM_001004087",38.2417074664091,0.426020301012755,0.379639359275726,0.172110814094315,0.283816002037638
"NM_001004088",5.47492323144082,-0.0956992938933704,0.526568827379782,0.754332338003942,0.83541468963638
"NM_001004089",809.839799777659,1.03708660582232,0.186593731766027,7.77571782429814e-09,8.87855896836873e-08
"NM_001004090",102.284288805996,1.95702291653301,0.2964555573388,4.60277779745246e-12,9.05130479775014e-11
"NM_001004091",31.5747353354374,1.28753337000714,0.640638391782325,0.00586665736919911,0.0176611334189909
"NM_001004095",392.622144888994,3.02997174844924,0.33343775318524,7.08320678028286e-21,5.08000183006823e-19
"NM_001004096",37.8372648022138,-0.488517412115224,0.345886345155904,0.0960876019369827,0.180841466457181
"NM_001004098",220.562112618656,0.0995222071335701,0.174535525892187,0.554235351598478,0.680195113867588
"NM_001004099",1684.81658189215,0.522936574035226,0.228702710605583,0.0141752765518165,0.0374807974947186
"NM_001004102",398.860091995465,0.171992954324106,0.185841328283445,0.333994803857216,0.472040827244363
"NM_001004107",859.750209029056,1.28157311064437,0.265741813627701,2.75953226071836e-07,2.40702285348669e-06
"NM_001004198",172.814942231606,-0.388677171903452,0.21053746161326,0.0497976725376524,0.106999194936805
"NM_001004199",3669.75222088929,0.137260045546756,0.173829342920369,0.413124531857539,0.550682153555973
"NM_001004200",674.467390079938,0.0299672582515144,0.149214286905347,0.837868094920954,0.89408991593578
"NM_001004201",18.6563191091753,-0.13755190249088,0.459714667938469,0.669830337154226,0.77149661903992
"NM_001004202",2738.11351134155,1.55418889921831,0.256673801102219,2.09482117611889e-10,3.08543258598021e-09
"NM_001004203",551.371730605911,1.2209737307546,0.176364396903627,9.80659514991306e-13,2.17389431474739e-11
"NM_001004204",1535.03906270924,-0.15702095439331,0.141334215217306,0.254414811905989,0.384795827848989
"NM_001004205",229.156053386315,-0.091566804202582,0.223587293726259,0.660675825175099,0.764402765673382
"NM_001004206",1214.2558209336,0.299449889225438,0.137240092042709,0.0254371170906425,0.0615347190995636
"NM_001004207",259.845735322487,-0.0411406909783069,0.176055488840821,0.806569096651809,0.871462640047688
"NM_001004208",1196.92470307543,-0.30538539931976,0.255099457870381,0.189553287597295,0.305967670609756
"NM_001004209",8555.3750410984,-1.15866787436473,0.234458829430727,1.79768664886821e-07,1.62220523010122e-06
"NM_001004211",550.827441609383,-0.1487552143985,0.151083520352302,0.310075295148167,0.446985839944933
"NM_001004212",148.325929388928,1.31351081086323,0.280636060197513,5.18192078708561e-07,4.28817622901134e-06
"NM_001004213",3042.97792126371,0.0887116877878134,0.132834631002083,0.492920359586369,0.625658196152831
"NM_001004214",1028.93772723599,-0.735243650683646,0.230628591332634,0.000642827643812356,0.00262905245454826
"NM_001004215",127.811371799893,2.03977547677091,0.336532039717238,1.4615854725026e-10,2.2090877947343e-09
"NM_001004217",238.627298798657,-0.113915616760921,0.188857919478592,0.526877480783284,0.656085632845548
"NM_001004218",336.003041309292,0.140801427858389,0.213293104041743,0.485209640990766,0.618374609824817
"NM_001004220",3647.21389030353,-0.813687563542673,0.248839003909514,0.00042559306468768,0.00181996597771548
"NM_001004221",1151.05535561687,-0.0154064312569044,0.147843168983628,0.913096293331751,0.944216376502312
"NM_001004222",741.607325427115,-0.0640687994321607,0.231432882321165,0.761562228836979,0.840706472538046
"NM_001004223",4292.64294451491,0.377635441682272,0.12602375287248,0.00220914531489852,0.00774471295219856
